id,is_iceberg
5941774d,0.001492
4023181e,0.875554
b20200e4,0.928915
e7f018bb,0.998014
4371c8c3,0.347227
a8d9b1fd,0.991717
29e7727e,0.003175
92a51ffb,0.998711
c769ac97,0.000025
aee0547d,0.000002
565b28ac,0.000000
e04e9775,0.838532
8e8161d1,0.000892
4cf4d256,0.830558
139e5324,0.823232
f156976f,0.002613
68a117cc,0.060101
d9aa7a56,0.308987
9005b143,0.909840
5f6d3988,0.987502
9ad70954,0.448313
b9087b9e,0.478463
a39a1427,0.968124
82fbe8ed,0.009815
1fae4879,0.000009
6dd8f13d,0.009942
bbad5958,0.072031
54527583,0.930387
be8fa29c,0.042171
81a3328f,0.998293
1a3c0ab3,0.101408
4deeeb8b,0.963570
ac6d5632,0.895420
472dadb5,0.980840
96093f95,0.993346
f5b4e3df,0.793510
e01a3c92,0.007659
001680af,0.929889
8e639f33,0.019999
a2c16612,0.987261
a6d76474,0.001213
19c47684,0.976835
015827b6,0.791578
7df7f7ce,0.704749
0bbf1a3f,0.980531
636cfbb7,0.923897
7370030a,0.998160
43aa97ad,0.063991
ba2b5e63,0.893740
dfdd335b,0.909866
e79b13dc,0.190798
dc32b195,0.922701
6d868590,0.991856
75fa59aa,0.334169
ffe50836,0.968193
a7bfd784,0.901299
b3d569e3,0.008348
6c538c5b,0.042393
5c7c15f4,0.858304
0b745139,0.919613
fd14608e,0.843745
f0bc8305,0.820715
a10ccb28,0.963380
543304c7,0.887717
6c3a4078,0.000295
9b73cc75,0.864963
5c6c71b1,0.023622
09ee9186,0.965120
207c35cf,0.905965
153c813e,0.816478
5605d58b,0.768963
642ca396,0.000117
d32d72c0,0.743011
16646a17,0.993001
384074af,0.960516
69bf1e8c,0.781507
9e90a054,0.904605
89dbe7f7,0.982369
dbd27d22,0.981684
a2ea1561,0.859287
d63402af,0.665258
1ac8bb92,0.991886
8beffca5,0.934362
46741f3e,0.342154
e5ee6aa7,0.854133
5ecd892b,0.466329
69892166,0.081906
2f725a81,0.015464
810abfe4,0.065088
e6f973e6,0.946442
c60a5c46,0.255013
c42b9e08,0.330141
c3f00c23,0.960047
5307fdb8,0.921256
3e4f005e,0.000345
4a4cc2e0,0.984057
9bdd88d1,0.000037
0d832bed,0.016019
14a134fa,0.966647
78a41676,0.261164
0bd4658e,0.552305
4a311bb0,0.970181
f939c817,0.828902
956adc4d,0.844971
f8a119f5,0.893206
61faa1ad,0.957830
6725eb3e,0.864557
17b3a8fd,0.643341
49a88dfc,0.060147
2d6ec645,0.975867
0d4d77ba,0.874403
3ee672a2,0.999254
738b41fd,0.855368
f7fb320d,0.913491
b42fad18,0.005425
4ab8b00a,0.835247
f7870f2b,0.093733
4978666a,0.904694
f1b0d6c7,0.009281
5642407f,0.004231
36d4ff92,0.824222
4139aba2,0.923767
7585ce58,0.838415
33e25984,0.996735
ac46f3c9,0.296622
fc34a5b8,0.876068
85c36a8f,0.881080
b2d8a426,0.215659
13ec60d1,0.942610
9d440f42,0.969012
1c0a891e,0.848224
981c3bc3,0.998550
295604f4,0.831119
16ca16c3,0.958497
b4dda837,0.622265
88d088ef,0.007442
1b4fa160,0.980390
f371bd82,0.752820
b130a0b7,0.998932
ebf1de82,0.969319
01e651c3,0.790863
51b1fecc,0.947830
fa635a31,0.670990
97b7d789,0.181032
2f598053,0.484265
c0e3e148,0.941244
cfa175a8,0.033584
3d7e09d8,0.969778
44a13d1b,0.899574
c66b0948,0.843229
976a6d64,0.001023
8bbd8909,0.979136
522890fd,0.849165
f23a3b95,0.816615
680039dc,0.867927
93028e53,0.937066
22a16932,0.876033
7d8126d2,0.008137
ba2ecd75,0.002194
8071bdd7,0.567099
96d5aeee,0.000000
154be68f,0.995537
d8c2bfe2,0.995591
f76d47b0,0.304461
0e781ade,0.933121
13cf6060,0.082713
cd99f710,0.893701
d10005bb,0.183210
3a31445f,0.922242
3157202d,0.519795
6ee64703,0.939205
e5de8685,0.100618
02cc70ba,0.007164
50984a87,0.912404
fa94957a,0.911599
eab406b4,0.629216
3ad39398,0.565515
9ecf3802,0.703992
6048ae7b,0.008609
9dc68871,0.000291
13701465,0.211845
8d8779f3,0.612877
0712f269,0.864702
722c2597,0.000825
478a2b08,0.956551
38f5fb41,0.986269
c52ad74d,0.998109
0c85fd09,0.000018
f1582cba,0.986129
ff836697,0.957220
ddfe4802,0.202658
3cef3bc7,0.996460
6a21542b,0.948101
150e23c4,0.991758
078c6d99,0.950139
1dcd1dc3,0.270039
39967e45,0.829611
6b6333aa,0.664800
4ae61433,0.849359
f96362e0,0.212146
97a88aac,0.898621
427ae8ce,0.087125
209d4b15,0.331538
64b453bd,0.004891
0f5a484e,0.968031
5ac74969,0.841990
736ed43e,0.855200
8533795f,0.905160
f5b54fb6,0.241407
6eb4c041,0.060655
97afdf42,0.741203
1bb488db,0.953202
f132e44d,0.970001
d3c2f140,0.837610
1756794d,0.962822
9efcc11f,0.000022
14c966cf,0.967213
59cfe4d1,0.925599
883151f4,0.930979
